address;area;date;demanded_price;final_price;monthly_fee;operating_cost;price_per_squaremeter;room_number;title;url;year_of_construction
Essinge Brogata 3, 4 tr;44;29/05/20;3050000;3400000;2543;6000;77273;2 rum;Essinge Brogata 3, 4 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-essinge-brogata-3,-4-tr-1194928;1938
StrÌ´lgatan 23, 1tr;35;29/05/20;2595000;2685000;2486;6000;76714;2 rum;StrÌ´lgatan 23, 1tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-23,-1tr-1194224;1939
Primusgatan 74, 1tr;68.5;28/05/20;4895000;5250000;4121;7800;76642;2,5 rum;Primusgatan 74, 1tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2,5rum-lilla-essingen-stockholms-kommun-primusgatan-74,-1tr-1193627;2004
Primusgatan 98, vÌ´n 4;96.5;20/05/20;8995000;9700000;4799;5900;100518;3 rum;Primusgatan 98, vÌ´n 4 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-98,-van-4-1188752;2003
Primusgatan 87;51;19/05/20;3250000;3650000;3309;4860;71569;2 rum;Primusgatan 87 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-87-1188353;2007
Primusgatan 84;68.5;19/05/20;4695000;5200000;4121;4860;75912;2,5 rum;Primusgatan 84 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2,5rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-84-1188213;2004
Essinge Brogata 22;45;14/05/20;2495000;2800000;3309;7836;62222;2 rum;Essinge Brogata 22 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-22-1185844;1939
StrÌ´lgatan 12, 2tr;43;14/05/20;2995000;3050000;2043;5500;70930;2 rum;StrÌ´lgatan 12, 2tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-12,-2tr-1185789;1938
Essinge Brogata 39, 2 tr;23;12/05/20;1895000;2100000;1787;3600;91304;1 rum;Essinge Brogata 39, 2 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-39,-2-tr-1184444;1938
Disponentgatan 1;30;12/05/20;2450000;2500000;2176;4800;83333;1 rum;Disponentgatan 1 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-stockholms-kommun-disponentgatan-1-1184239;
StrÌ´lgatan 8;23;07/05/20;1995000;2248000;1603;4996;97739;1 rum;StrÌ´lgatan 8 - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-8-1182107;1938
Primusgatan 74, 5tr;120.5;07/05/20;9995000;10400000;6326;7800;86307;4 rum;Primusgatan 74, 5tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-4rum-lilla-essingen-stockholms-kommun-primusgatan-74,-5tr-1181901;2004
Primusgatan 51, 6tr;87;06/05/20;5600000;5500000;4678;7800;63218;3 rum;Primusgatan 51, 6tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-51,-6tr-1181044;2006
Essinge Brogata 22, 1 tr;31;05/05/20;2195000;2450000;2288;3480;79032;2 rum;Essinge Brogata 22, 1 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-22,-1-tr-1180565;1938
Essinge Brogata 3, 2 tr;44;05/05/20;2995000;3200000;2493;6000;72727;2 rum;Essinge Brogata 3, 2 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-essinge-brogata-3,-2-tr-1180721;1938
Essinge Brogata 39, 4 tr;23;01/05/20;2100000;2100000;1888;3600;91304;1 rum;Essinge Brogata 39, 4 tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Kungsholmen - Lilla Essingen, STOCKHOLM - Hemnet;https://www.hemnet.se/salda/lagenhet-1rum-kungsholmen-lilla-essingen-stockholms-kommun-essinge-brogata-39,-4-tr-1179390;1938
Primusgatan 60, 5tr;78;30/04/20;5995000;5850000;4979;7500;75000;3 rum;Primusgatan 60, 5tr - SÌ´ld bostadsrÌ_ttslÌ_genhet - Lilla Essingen, Stockholm - Hemnet;https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-60,-5tr-1178636;2005
