address,area,date,demanded_price,final_price,monthly_fee,operating_cost,price_per_squaremeter,room_number,title,url,year_of_construction
"Luxgatan 7, 1tr",36,2020-07-08,2890000,3300000,2091,5500,91667,"1,5 rum","Luxgatan 7, 1tr - Såld bostadsrättslägenhet - Kungsholmen / Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-1,5rum-kungsholmen-lilla-essingen-stockholms-kommun-luxgatan-7,-1tr-1217196",1937
"Strålgatan 12, 5tr",43,2020-07-08,3195000,3350000,2127,0,77907,2 rum,"Strålgatan 12, 5tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-12,-5tr-1216941",0
"Strålgatan 23, EP",32,2020-07-07,2295000,2600000,2251,4500,81250,2 rum,"Strålgatan 23, EP - Såld bostadsrättslägenhet - Kungsholmen - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-23,-ep-1216533",1939
"Primusgatan 86, vån 3",50,2020-07-03,3495000,3870000,2955,3620,77400,2 rum,"Primusgatan 86, vån 3 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-86,-van-3-1214833",2003
"Primusgatan 78, 1tr",46,2020-07-02,3295000,3550000,3076,0,77174,2 rum,"Primusgatan 78, 1tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-78,-1tr-1213818",0
Primusgatan 87,51,2020-07-01,3295000,3670000,3309,4860,71961,2 rum,"Primusgatan 87 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-87-1213050,2007
Strålgatan 21,49,2020-06-30,3490000,3800000,3357,0,77551,2 rum,"Strålgatan 21 - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, STOCKHOLM - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-21-1212282,0
"Primusgatan 60, 4tr",78,2020-06-30,6495000,6510000,4979,7500,83462,4 rum,"Primusgatan 60, 4tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-4rum-lilla-essingen-stockholms-kommun-primusgatan-60,-4tr-1212570",2005
Strålgatan 19,40,2020-06-26,2695000,3100000,2464,3000,77500,2 rum,"Strålgatan 19 - Såld bostadsrättslägenhet - Kungsholmen - Lilla Essingen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-kungsholmen-lilla-essingen-stockholms-kommun-stralgatan-19-1211244,1938
"Primusgatan 70, 2tr",0,2020-06-19,5995000,5950000,4279,0,82069,3 rum,"Primusgatan 70, 2tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-primusgatan-70,-2tr-1209069",0
Luxgatan 9,40,2020-06-18,3195000,3800000,1891,0,95000,2 rum,"Luxgatan 9 - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-9-1207409,0
"Strålgatan 12, 2tr",64,2020-06-18,3995000,3995000,3080,4500,62422,3 rum,"Strålgatan 12, 2tr - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-12,-2tr-1207361",0
Essinge Brogata 8,34,2020-06-17,2395000,2840000,1611,0,83529,1 rum,"Essinge Brogata 8 - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-1rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-8-1206354,0
"Luxgatan 23, 5tr",0,2020-06-16,5895000,5675000,4046,7800,74183,3 rum,"Luxgatan 23, 5tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-luxgatan-23,-5tr-1204989",2006
"Primusgatan 98, vån 4",0,2020-06-13,5695000,6400000,3744,5900,90780,2 rum,"Primusgatan 98, vån 4 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-98,-van-4-1203694",2003
"Primusgatan 52, 5tr",63,2020-06-13,4195000,4150000,3706,7000,65873,2 rum,"Primusgatan 52, 5tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-52,-5tr-1203651",2005
"Essinge Brogata 12, 4 tr",37,2020-06-12,2795000,3025000,2366,4100,81757,2 rum,"Essinge Brogata 12, 4 tr - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-12,-4-tr-1203368",1938
"Primusgatan 58, 7tr",69,2020-06-11,5495000,5400000,4507,5300,78261,2 rum,"Primusgatan 58, 7tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-58,-7tr-1202053",2007
"Essinge Brogata 5, 2tr",33,2020-06-10,2495000,2830000,1965,5340,85758,2 rum,"Essinge Brogata 5, 2tr - Såld bostadsrättslägenhet - Lilla Essingen / Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-5,-2tr-1201244",0
"Primusgatan 106, 2tr",0,2020-06-10,4450000,5010000,3569,4800,101212,2 rum,"Primusgatan 106, 2tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-primusgatan-106,-2tr-1201635",1935
Luxgatan 11,81,2020-06-08,6950000,7000000,4428,7000,86420,3 rum,"Luxgatan 11 - Såld bostadsrättslägenhet - Lilla Essingen, STOCKHOLM - Hemnet",https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-stockholms-kommun-luxgatan-11-1199704,1936
Essinge Brogata 22,45,2020-06-03,2900000,2850000,3309,9100,63333,2 rum,"Essinge Brogata 22 - Såld bostadsrättslägenhet - Lilla Essingen - Kungsholmen, Stockholm - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-essinge-brogata-22-1197349,1938
"Strålgatan 33, vån 3/3",40,2020-06-03,2895000,3260000,2468,4860,81500,2 rum,"Strålgatan 33, vån 3/3 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-stralgatan-33,-van-3-3-1197196",1939
Luxgatan 37,45,2020-06-02,3195000,3325000,2883,4860,73889,2 rum,"Luxgatan 37 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, STOCKHOLM - Hemnet",https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-37-1196258,2006
"Luxgatan 37, vån 9  & 10",106,2020-05-30,6495000,6870000,5277,5900,64811,3 rum,"Luxgatan 37, vån 9  & 10 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-37,-van-9-10-1195083",2006
"Luxgatan 19, vån 5/5",0,2020-05-29,4295000,4800000,3337,4860,82051,2 rum,"Luxgatan 19, vån 5/5 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-19,-van-5-5-1194385",2005
"Essinge Brogata 3, 4 tr",44,2020-05-29,3050000,3400000,2543,6000,77273,2 rum,"Essinge Brogata 3, 4 tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-essinge-brogata-3,-4-tr-1194928",1938
"Strålgatan 23, 1tr",35,2020-05-29,2595000,2685000,2486,6000,76714,2 rum,"Strålgatan 23, 1tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2rum-lilla-essingen-stockholms-kommun-stralgatan-23,-1tr-1194224",1939
"Primusgatan 74, 1tr",0,2020-05-28,4895000,5250000,4121,7800,76642,"2,5 rum","Primusgatan 74, 1tr - Såld bostadsrättslägenhet - Lilla Essingen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-2,5rum-lilla-essingen-stockholms-kommun-primusgatan-74,-1tr-1193627",2004
"Primusgatan 98, vån 4",0,2020-05-20,8995000,9700000,4799,5900,100518,3 rum,"Primusgatan 98, vån 4 - Såld bostadsrättslägenhet - Lilla Essingen \\ Kungsholmen, Stockholm - Hemnet","https://www.hemnet.se/salda/lagenhet-3rum-lilla-essingen-kungsholmen-stockholms-kommun-primusgatan-98,-van-4-1188752",2003
